Espece,Diametre minimum du chapeau,Diametre maximum du chapeau,Couleur du chapeau,Forme du chapeau,Surface du chapeau,Type de marge,Couleur de la marge,Dessous du chapeau,Couleur au dessous du chapeau,Oxydation du chapeau,Couleur de l oxydation du chapeau,Mode d insertion du dessous du chapeau avec le pied,Espace entre les lamelles,Type de lamelles,Couleur du pied,Pïed creux ou plein,Forme du pied,Longueur du pied,Surface su pied,Position du pied par rapport au chapeau,Presence d un anneau,Orientation de l anneau,Mobilite de l anneau,Couleur de l anneau,Poussee en touffe,Couleur de la base du pied,Couleur de la chair,Oxydation de la chair,Couleur de l oxydation,Fermete de la chair,Odeur,Latex,Couleur du latex,Mois de poussees le plus tot,Mois de poussees le plus tard,Milieu,Pousse sur du bois ou non,Nom vernaculaire,Comestibilite,Commentaires,Synonymes,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acetabula vulgaris,0,0,,,,,,,,absence d oxydation,,,,,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Pezize vulgaire,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agaricus abruptibulbus,8,12,blanc,,ecailleuse ; mechuleuse ; squameuse,,,lamelles,gris ; rouge ; brun ; noir,absence d oxydation,,libres,serrees,normal ;,blanc,pied creux,cylindrique ; tubulaire ; mince ; elance ; grele ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,oui,jaune,,anis ; agreable,non,,juin ; janvier,octobre ; decembre,coniferes,non,Psalliote a pied bulbeux,comestible,Peut etre confondu avec Agaricus silvicola (psalliote des bois),Agaricus essetei,;;;;;;;;;;;;;;;;;;;;;;;;
Amanita echinocephala,0,0,,,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,coniferes,non,Amanite herisson,comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita eliae,0,0,,,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,bulbeux ; volve,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite de Fries,toxique,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita excelsa,5,12,gris ; brun,,verrues ; lisse ; glabre,lisse ; droite ; reguliere,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,ecailleuse ; mechuleuse ; squameuse ;,centrale,oui,descendant,,blanc ;,non,blanc,blanc,non,,,raifort ;,non,,juillet ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite epaisse,non comestible,,Amanita spissa,;;;;;;;;;;;;;;;;
Amanita franchetii,3,7,jaune ; creme,hemispherique ; convexe ; plan,ecailleuse ; mechuleuse ; squameuse,,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ;,,,centrale,oui,,,blanc ;,non,,blanc,non,,,desagreable ;,non,,aout ; janvier,septembre ; decembre,feuillus ;" coniferes,non,Amanite sans nom vernaculaire,toxique,""Contrairement a Amanita rubescens (amanite rougissante), sa chair ne rougit pas"",,";;;;;;;;;;;;;;;;;;;;
Amanita fulva,4,9,brun ; orange ; jaune ;,hemispherique ; convexe ; plan,lisse ; glabre ; brilante,striee,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc ; brun ;,pied plein puis creux,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,,centrale,non,,,,non,blanc,blanc,non,,,faible ;,non,,juin ; janvier,septembre ; decembre,feuillus ; coniferes,non,Amanite fauve ;" Coucoumelle orangee,comestible,""Contrairement a l'amanite safran, son pied n'est pas marbre"",,";;;;;;;;;;;;;;;
Amanita gemmata,3,8,jaune,campanule ; convexe ; etale,floconneuse,cannelee ; crenelee ; cotelee ; sillonnee,plus claire,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,,centrale,oui,descendant,,blanc ;,non,,blanc,non,,,faible ;,non,,juin ; janvier,octobre ; decembre,feuillus ; coniferes,non,Amanite jonquille ; Amanite a pierreries,toxique,,,;;;;;;;;;;;;;;;;;;
Amanita junquillea,0,0,,hemispherique ; campanule ; convexe ; etale ;,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite jonquille,toxique,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita livido pallescens,0,0,,,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,bulbeux ; volve,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,,non comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amanita mairei,4,10,gris ; blanc,,brilante ; lisse ; glabre,striee,,lamelles,blanc,absence d oxydation,,libres,serrees,normal ;,blanc,pied plein,cylindrique ; tubulaire ; aminci a la base ; aminci au sommet ; attenue ; base pointue ; renfle ; fuseau ; fusiforme ; bulbeux ; volve,,marbre ; reseau ; reticule ;,centrale,non,,,,non,blanc,blanc,non,,,faible ;,non,,juin ; janvier,septembre ; decembre,feuillus,non,Amanite de maire,comestible,,,;;;;;;;;;;;;;;;;;;;;
Amanita mappa,0,0,,campanule ; etale ; deprime ; mamelonne ;,,,,lamelles,,absence d oxydation,,,,normal ;,,pied plein,bulbeux ; volve,,,centrale,non,,,,non,,,non,,,,non,,janvier ; janvier,decembre ; decembre,,non,Amanite citrine,non comestible,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
