id_champi;nom
657;Lepiota cortinarius
658;Lepiota cristata
659;Lepiota excorcia
660;Lepiota felina
661;Lepiota helveola
662;Lepiota ignivolvata
663;Lepiota josserandii
664;lepiota naucina
665;Lepiota procera
666;Lepiota rhacodes
667;Lepiota subincarnata
668;Lepiota ventriosospora
669;Lepista gilva
670;Lepista glaucona
671;Lepista inversa
672;Lepista irina
673;Lepista luscina
674;Lepista nuda
675;Lepista personata
676;Lepista saeva
677;Lepista sordida
678;Leptopodia atra
679;Leptopodia elastica
680;Leucoagaricus leucothites
681;Leucoagaricus pudicus
682;Leucocoprinus birnbaumii
683;Leucocoprinus bresadolae
684;Leucocoprinus cretatus
685;Leucocortinarius bulbiger
686;Leucopaxillus giganteus
687;Limacella guttata
688;Limacella lenticularis
689;Lycogala epidendron
690;Lycogala epidendrum
691;Lycoperdon echinatum
692;Lycoperdon mammiforme
693;Lycoperdon perlatum
694;Lycoperdon piriforme
695;Lycoperdon pyriforme
696;Lycoperdon umbrinum
697;Lyophyllum anthracophilum
698;Lyophyllum connatum
699;Lyophyllum favrei
700;Lyophyllum loricatum
701;Macrocystidia cucumis
702;Macrolepiota excoriata
703;Macrolepiota konradii
704;Macrolepiota mastoidea
705;Macrolepiota procera
706;Macrolepiota rachodes
707;Macrolepiota rhacodes
708;Macroscyphus macropus
709;Macrotyphula filiformis
710;Macrotyphula fistulosa
711;Macrotyphyla filiformis
712;Macrotyphyla juncea
713;Marasmiellus ramealis
714;Marasmius alliaceus
715;Marasmius androsaceus
716;Marasmius epiphyllus
717;Marasmius graminum
718;Marasmius oreades
719;Marasmius prasiosmus
720;Marasmius rotula
721;Marasmius scorodonius
722;Marasmius setosus
723;Megacollybia platyphylla
724;Melanoleuca cognata
725;Melanoleuca excissa
726;Melanoleuca grammopodia var. Subbrevipes
727;Melanoleuca melaleuca
728;Melanoleuca stridula
729;Melanoleuca subalpina
730;Melanoleuca verrucipes
731;Melanophyllum haematospermum
732;Melastiza chateri
733;Meripilus giganteus
734;Meruliopsis taxicola
735;Merulius tremellosus
736;Micromphale perforans
737;Microstoma protracta
738;Mitrophora semilibera
739;Mitrula paludosa
740;Mollisia cinerea
741;Mollisia melaleuca
742;Monilinia fructigena
743;Morchella conica
744;Morchella elata
745;Morchella esculenta
746;Morchella esculenta var. Vulgaris
747;Morchella gigas
748;Morchella semilibera
749;Morchella vulgaris
750;Mutinus caninus
751;Mutinus ravenelii
752;Mycena acicula
753;Mycena aurantiomarginata
754;Mycena capillaripes
755;Mycena capillaris
756;Mycena citrinomarginata
757;Mycena crocata
758;Mycena epipterygia
759;Mycena erubescens
760;Mycena flavoalba
761;Mycena galericulata
762;Mycena galopus
763;Mycena haematopoda
764;Mycena haematopus
765;Mycena inclinata
766;Mycena leptocephala
767;Mycena maculata
768;Mycena pelianthina
769;Mycena polyadelpha
770;Mycena polygramma
771;Mycena pura
772;Mycena renati
773;Mycena rosea
774;Mycena rosella
775;Mycena sanguinolenta
776;Mycena seynii
777;Mycena stipata
778;Mycena stylobates
779;Mycena tintinnabulum
780;Mycena viscosa
781;Mycena vitilis
782;Mycena vulgaris
783;Mycena zephirus
